ym,inTotal,inMale,inFemale,outTotal,outMale,outFemale
201801,78846,35625,43221,78379,35580,42799
201802,60999,28101,32898,60615,27991,32624
201803,105231,48041,57190,104153,47711,56442
201804,82219,38037,44182,82400,38272,44128
201805,103799,47710,56089,103832,47952,55880
201806,79549,36237,43312,78234,35924,42310
201807,92561,42369,50192,90467,41740,48727
201808,90128,41559,48569,90550,41990,48560
201809,75605,34422,41183,76415,34993,41422
201810,63042,27906,35136,61568,27535,34033
201811,63942,28534,35408,62287,28070,34217
201812,88894,40087,48807,87027,39482,47545
201901,88882,40224,48658,87587,39810,47777
201902,68557,31252,37305,68442,31230,37212
201903,84368,38517,45851,84576,38768,45808
201904,84757,38993,45764,83926,38837,45089
201905,92651,42301,50350,92025,42205,49820
201906,76443,34858,41585,74866,34370,40496
201907,98131,44900,53231,95814,44055,51759
201908,92486,42717,49769,91637,42531,49106
201909,90276,41225,49051,90954,41599,49355
201910,69619,31402,38217,68022,30876,37146
201911,62816,28407,34409,61254,27946,33308
201912,63057,28404,34653,60222,27217,33005
202001,73313,33277,40036,70006,31951,38055
202002,82908,37984,44924,83595,38371,45224
202003,87117,40053,47064,89812,41388,48424
202004,74075,34063,40012,77089,35514,41575
202005,76367,34657,41710,80688,36606,44082
202006,72568,33653,38915,75661,35054,40607
202007,88137,40600,47537,91336,42075,49261
202008,89396,41324,48072,93253,42982,50271
202009,92416,42874,49542,98350,45547,52803
202010,63402,28757,34645,65798,29905,35893
202011,68722,31586,37136,72352,33157,39195
202012,77830,35040,42790,82289,36975,45314
202101,69158,31649,37509,75030,34091,40939
202102,64406,29669,34737,70092,32159,37933
202103,91907,42138,49769,103253,47202,56051
202104,80225,37159,43066,89640,41397,48243
202105,65063,29741,35322,77381,35041,42340
202106,62038,28761,33277,72088,32875,39213
202107,79668,36657,43011,92830,42248,50582
202108,90165,42008,48157,106597,49033,57564
202109,93087,42704,50383,113546,51445,62101
202110,69547,31796,37751,85367,38653,46714
202111,74445,34021,40424,92034,41882,50152
202112,80994,36924,44070,98855,44906,53949
202201,81011,37260,43751,103842,47731,56111
202202,67432,31209,36223,92052,42454,49598
202203,103168,48013,55155,148502,71551,76951
202204,84281,39057,45224,134824,65874,68950
202205,82997,37890,45107,93867,44087,49780
202206,85868,39107,46761,85678,39957,45721
202207,101555,46622,54933,90504,42019,48485
202208,99646,46495,53151,89228,41784,47444
